Star,SuccessRate,FailMaintainRate,FailDecreaseRate,FailDestroyRate
0,0.95,0.05,0.00,0.00
1,0.90,0.10,0.00,0.00
2,0.85,0.15,0.00,0.00
3,0.85,0.15,0.00,0.00
4,0.80,0.20,0.00,0.00
5,0.75,0.25,0.00,0.00
6,0.70,0.30,0.00,0.00
7,0.65,0.35,0.00,0.00
8,0.60,0.40,0.00,0.00
9,0.55,0.45,0.00,0.00
10,0.50,0.50,0.00,0.00
11,0.45,0.55,0.00,0.00
12,0.40,0.60,0.00,0.00
13,0.35,0.65,0.00,0.00
14,0.30,0.70,0.00,0.00
15,0.30,0.679,0.00,0.021
16,0.30,0.00,0.679,0.021
17,0.30,0.00,0.679,0.021
18,0.30,0.00,0.672,0.028
19,0.30,0.00,0.672,0.028
20,0.30,0.00,0.63,0.07
21,0.03,0.00,0.776,0.194
22,0.02,0.00,0.686,0.294
23,0.01,0.00,0.594,0.396
24,0.01,0.00,0.594,0.396
